A-B,A-H,C-E,B-G,D-F,G-H,C-F,E-H,C-G,B-D,A,B,C,D,E,F,G,H
37.59367223,5.616911415,26.91652365,-26.9963163,-26.08739816,-4.981090676,6.957968348,-21.4903461,10.40783319,-4.356796849,90.47504026,52.88006508,90.29141446,57.24002835,63.3764293,83.32991643,79.88094927,84.86288076
36.58593013,3.590742888,15.6200631,-29.56215195,-31.16900211,-3.433990344,0.59553325,-13.98714611,5.068604376,-2.870302206,86.6394739,50.0537743,84.6879186,52.92564457,69.06629611,84.09523462,79.61834213,83.05217147
37.39134452,9.788060777,21.06756715,-25.15829332,-23.20232701,-2.45044094,6.047749719,-15.48187845,8.036131774,-3.949323934,91.20900949,53.8176633,87.0111799,57.76486253,65.94456249,80.96779393,78.97429907,81.42178172
32.24937368,9.608320774,23.69854185,-22.25078503,-17.31664711,-0.386566396,12.69535713,-12.30246547,11.79068869,-4.03659826,87.41735359,55.17247413,89.21249929,59.20941427,65.51179753,76.52124246,77.42233214,77.8136433
34.16985527,10.81431489,17.34356361,-18.55509011,-23.12582516,-4.80453848,3.493620606,-11.25069822,10.89267995,-2.81329053,88.86803164,54.69831625,84.14149488,57.51658696,66.79973596,80.64333977,73.25035314,78.05336051
31.44355179,6.071516561,16.98022465,-21.54262882,-19.03009594,-3.828480328,9.215562906,-13.72352322,7.08838968,-0.381036977,85.05345941,53.60742889,82.23676428,53.99214606,65.25155562,73.02099435,75.15112478,78.97898768
43.08844472,13.07762794,15.21252321,-32.63827641,-19.50923014,2.620611235,5.417330768,-10.54942567,2.050674441,-9.759878173,86.64268595,43.5509784,78.23711104,53.31362437,63.02046737,72.82396864,76.19044811,73.56959938
52.80984867,21.67512185,12.41782232,-26.5766731,-11.79850156,-4.554011147,12.90193748,-3.860493641,13.11196306,-14.98795046,95.19083166,42.37833017,82.06495896,57.3647564,69.64824302,69.16706949,68.9575707,73.51219157
51.44529681,12.38718878,11.87490871,-28.84789472,-21.24390877,-10.22069249,17.66449125,-0.144899458,21.95213711,-11.88510206,88.52571139,37.08159823,87.87529515,48.96345922,75.99550122,70.2072405,65.92537119,76.14210485
43.20359704,6.334329433,16.40373658,-30.42944279,-16.87618473,-6.443503032,16.18602554,-0.264235366,22.58304885,-19.94397334,77.68019685,34.47307536,87.48253262,54.41742154,71.07844814,71.29615393,64.90350522,71.34687948
46.1491397,7.989551732,22.5452326,-28.46523629,-11.01752249,-9.701802121,21.81871167,-3.2875238,28.95069667,-24.58252222,81.33060412,35.18078766,92.59704318,59.76279662,70.05374473,70.77721741,63.64787799,73.34483443
40.22694863,14.84384469,15.33796113,-16.1340291,-7.431254434,-9.254365993,13.87633096,4.707456778,29.31294599,-24.13973813,83.12654626,42.89781781,88.34053474,67.03310571,72.99879595,74.46059461,59.03255299,68.28747022
41.5660194,8.961302608,16.87895707,-22.89026569,-11.47897773,-9.713215697,11.94265797,-5.475136842,21.11256609,-20.58558549,83.73444632,42.16728271,86.17461623,62.7481883,69.29160379,74.22923624,65.06072694,74.77173031
44.35096809,15.07124332,16.09043495,-14.49557798,-15.9795557,-14.78884246,9.67538066,-5.918793999,24.97299512,-13.80887978,89.76626943,45.41262308,84.8791043,59.22194842,68.78438436,75.19986426,59.90884335,74.6983674
44.72490201,17.98789451,10.29483666,-8.428653018,-22.86772257,-18.31259223,0.568096658,1.048034227,29.65291679,-14.63285202,90.74688467,46.01969436,84.09427386,60.65425498,73.80151571,83.52372737,54.44616001,72.75687013
33.74098762,12.11014774,20.57452117,-6.120834354,-23.51879975,-15.50824075,11.84977723,-2.379706227,33.69927257,-4.46186402,82.24278694,48.49703184,88.32255032,52.95777508,67.74884557,76.47283442,54.6189074,70.13189115
27.45044676,12.3409203,23.14711992,-3.363268196,-9.243477882,-11.74072548,13.90959596,-6.110332098,28.77879462,-8.990586949,80.9121661,53.46549348,85.60609854,62.45740325,62.45614162,71.70111066,56.82610218,68.57107239
