instrument_id,level,side,quantity,price
0,0,1,3,1293
1,0,0,46,1140
2,0,1,12,231
0,0,1,21,1229
1,0,0,19,1496
2,0,1,49,228
0,0,1,25,1272
1,0,0,49,1470
2,0,1,15,242
0,0,1,13,1114
1,0,0,40,1159
2,0,1,16,63
0,0,1,48,1229
1,0,0,34,1325
2,0,1,19,365
0,0,1,41,1153
1,0,0,28,1481
2,0,1,16,-162
0,0,1,34,1151
1,0,0,0,1246
2,0,1,18,165
0,0,1,2,1276
1,0,0,10,1371
2,0,1,48,-530
0,0,1,48,1477
1,0,0,32,1336
2,0,1,31,-142
0,0,1,34,1135
1,0,0,29,1315
2,0,1,1,-296
0,0,1,16,1025
1,0,0,37,1284
2,0,1,27,-571
0,0,1,29,1387
1,0,0,11,1270
2,0,1,40,-256
0,0,1,15,1328
1,0,0,39,1417
2,0,1,36,258
0,0,1,49,1385
1,0,0,44,1141
2,0,1,26,549
0,0,1,29,1255
1,0,0,24,1303
2,0,1,22,43
0,0,1,24,1431
1,0,0,42,1190
2,0,1,34,261
0,0,1,32,1213
1,0,0,32,1257
2,0,1,15,386
0,0,1,27,1492
1,0,0,17,1326
2,0,1,20,145
0,0,1,28,1321
1,0,0,32,1058
2,0,1,34,215
0,0,1,27,1365
1,0,0,33,1408
2,0,1,19,166
0,0,1,40,1299
1,0,0,24,1416
2,0,1,25,-219
0,0,1,3,1270
1,0,0,21,1003
2,0,1,30,640
0,0,1,34,1493
1,0,0,27,1473
2,0,1,48,411
0,0,1,14,1438
1,0,0,22,1462
2,0,1,10,-207
0,0,1,10,1166
1,0,0,7,1358
2,0,1,49,-289
0,0,1,27,1229
1,0,0,42,1488
2,0,1,47,-429
0,0,1,22,1358
1,0,0,35,1147
2,0,1,23,-154
0,0,1,43,1180
1,0,0,41,1490
2,0,1,17,-588
0,0,1,46,1175
1,0,0,29,1016
2,0,1,44,476
0,0,1,8,1175
1,0,0,19,1001
2,0,1,21,-264
0,0,1,28,1036
1,0,0,36,1226
2,0,1,7,-679
0,0,1,2,1495
1,0,0,24,1248
2,0,1,1,-94
0,0,1,38,1337
1,0,0,18,1482
2,0,1,17,-110
0,0,1,18,1316
1,0,0,35,1310
2,0,1,10,309
0,0,1,0,1197
1,0,0,8,1011
2,0,1,21,68
0,0,1,38,1184
1,0,0,5,1349
2,0,1,42,-120
0,0,1,25,1280
1,0,0,12,1243
2,0,1,36,-93
0,0,1,12,1300
1,0,0,3,1056
2,0,1,48,728
0,0,1,12,1275
1,0,0,1,1426
2,0,1,40,135
0,0,1,8,1162
1,0,0,22,1105
2,0,1,10,80
0,0,1,9,1101
1,0,0,11,1481
2,0,1,3,-857
0,0,1,25,1395
1,0,0,6,1266
2,0,1,29,75
0,0,1,31,1295
1,0,0,36,1265
2,0,1,6,-32
0,0,1,11,1380
1,0,0,6,1079
2,0,1,14,100
0,0,1,33,1172
1,0,0,2,1297
2,0,1,30,-19
0,0,1,41,1012
1,0,0,5,1261
2,0,1,36,-693
0,0,1,11,1194
1,0,0,10,1425
2,0,1,30,240
0,0,1,41,1332
1,0,0,0,1083
2,0,1,38,682
0,0,1,35,1116
1,0,0,36,1044
2,0,1,9,-420
0,0,1,21,1436
1,0,0,25,1477
2,0,1,25,-498
0,0,1,25,1473
1,0,0,5,1018
2,0,1,30,544
0,0,1,29,1129
1,0,0,7,1235
2,0,1,43,-523
0,0,1,3,1178
1,0,0,34,1013
2,0,1,33,-120
0,0,1,4,1142
1,0,0,28,1188
2,0,1,3,-524
0,0,1,37,1079
1,0,0,49,1350
2,0,1,25,-700
0,0,1,23,1493
1,0,0,33,1020
2,0,1,24,448
0,0,1,19,1207
1,0,0,31,1194
2,0,1,43,77
0,0,1,0,1337
1,0,0,40,1288
2,0,1,20,308
0,0,1,42,1497
1,0,0,49,1266
2,0,1,12,-262
0,0,1,41,1079
1,0,0,19,1189
2,0,1,47,222
0,0,1,9,1284
1,0,0,46,1331
2,0,1,31,-245
0,0,1,24,1028
1,0,0,28,1013
2,0,1,22,-235
0,0,1,26,1186
1,0,0,41,1442
2,0,1,4,-205
0,0,1,12,1379
1,0,0,18,1117
2,0,1,0,-7
0,0,1,36,1207
1,0,0,44,1450
2,0,1,44,-368
0,0,1,6,1179
1,0,0,47,1273
2,0,1,35,25
0,0,1,22,1134
1,0,0,18,1221
2,0,1,19,-313
0,0,1,29,1142
1,0,0,9,1491
2,0,1,45,-196
0,0,1,37,1398
1,0,0,27,1170
2,0,1,47,-176
0,0,1,11,1352
1,0,0,30,1413
2,0,1,23,333
0,0,1,12,1183
1,0,0,38,1192
2,0,1,22,-308
0,0,1,13,1380
1,0,0,46,1462
2,0,1,36,-458
0,0,1,38,1449
1,0,0,33,1481
2,0,1,16,29
0,0,1,37,1181
1,0,0,33,1448
2,0,1,25,-261
0,0,1,20,1132
1,0,0,21,1063
2,0,1,11,120
0,0,1,37,1449
1,0,0,37,1023
2,0,1,8,831
0,0,1,41,1037
1,0,0,35,1297
2,0,1,9,-24
0,0,1,31,1413
1,0,0,1,1090
2,0,1,11,548
0,0,1,26,1261
1,0,0,27,1050
2,0,1,8,97
0,0,1,3,1295
1,0,0,7,1397
2,0,1,9,3
0,0,1,33,1061
1,0,0,4,1166
2,0,1,25,147
0,0,1,0,1093
1,0,0,0,1243
2,0,1,8,120
0,0,1,18,1324
1,0,0,7,1208
2,0,1,24,464
0,0,1,44,1445
1,0,0,41,1300
2,0,1,12,428
0,0,1,40,1190
1,0,0,7,1335
2,0,1,17,-5
0,0,1,35,1144
1,0,0,14,1306
2,0,1,17,148
0,0,1,10,1068
1,0,0,35,1483
2,0,1,32,-538
0,0,1,1,1174
1,0,0,1,1367
2,0,1,9,241
0,0,1,7,1462
1,0,0,8,1464
